FECHA;Al04TMax;Al04TMin;Al04TMed;Al04Precip 
dd-mm-yy; ºC; ºC, ºC; mm
23-02-15;23.2;4.9;13.9;0.0
22-02-15;17.6;2.0;11.0;0.0
21-02-15;15.6;-0.5;8.1;0.2
20-02-15;11.5;2.3;7.9;0.2
19-02-15;11.7;7.1;8.6;0.0
18-02-15;10.4;7.2;8.4;5.4
17-02-15;9.2;6.3;7.6;6.6
16-02-15;19.0;3.4;10.5;0.0
15-02-15;16.8;4.8;12.1;0.0
14-02-15;14.6;2.7;10.3;0.2
13-02-15;15.5;2.2;8.2;0.0
12-02-15;8.7;5.6;6.7;12.8
11-02-15;14.2;0.0;7.2;0.0
10-02-15;10.2;3.6;6.9;1.0
09-02-15;11.0;-2.6;4.5;1.0
08-02-15;10.0;-2.0;4.1;0.2
07-02-15;10.6;-5.2;2.2;2.0
06-02-15;10.5;-3.0;4.7;0.0
05-02-15;9.7;1.3;5.0;0.0
04-02-15;9.7;2.8;6.3;0.2
03-02-15;15.6;8.5;11.0;0.0
02-02-15;13.3;-0.4;7.2;0.0
01-02-15;11.8;1.0;7.1;0.0
31-01-15;17.5;6.1;13.3;0.0
30-01-15;19.0;13.6;16.0;0.0
29-01-15;19.8;-1.4;10.7;0.0
28-01-15;16.4;0.8;8.0;0.0
27-01-15;17.1;0.0;7.8;0.0
26-01-15;15.8;-1.8;6.6;0.0
25-01-15;17.1;-2.7;7.1;0.0
24-01-15;15.2;-3.8;5.2;0.0
23-01-15;13.1;-1.1;7.3;0.0
22-01-15;11.4;3.4;7.3;0.2
21-01-15;12.6;-0.6;6.6;0.0
20-01-15;11.6;-2.1;5.2;0.0
19-01-15;12.1;1.9;6.4;1.2
18-01-15;10.6;-3.8;4.2;2.2
17-01-15;13.2;-2.2;4.6;0.0
16-01-15;14.0;2.3;9.8;0.0
15-01-15;18.9;2.5;10.4;0.0
14-01-15;19.1;5.1;10.7;0.0
13-01-15;17.1;4.5;8.7;0.0
12-01-15;14.4;4.3;8.8;0.0
11-01-15;21.2;1.4;10.8;0.0
10-01-15;20.7;-2.0;7.2;0.0
09-01-15;15.5;0.2;6.5;0.0
08-01-15;13.6;0.1;6.2;0.2
07-01-15;13.4;2.5;7.0;0.0
06-01-15;17.3;-1.2;6.3;0.0
05-01-15;16.5;2.8;8.5;0.0
04-01-15;20.9;0.0;8.8;0.0
03-01-15;17.4;-1.6;6.4;0.0
02-01-15;16.0;-3.0;4.8;0.2
01-01-15;11.9;-1.6;5.3;0.0
31-12-14;14.3;-5.9;2.9;0.0
30-12-14;11.5;-6.7;1.5;0.0
29-12-14;9.6;-3.2;5.7;0.0
28-12-14;16.6;3.5;10.7;0.0
27-12-14;16.9;-0.9;6.9;0.2
26-12-14;15.5;0.2;6.8;0.2
25-12-14;14.8;1.8;7.7;0.0
24-12-14;16.3;1.1;7.9;0.2
23-12-14;14.2;3.2;7.8;0.2
22-12-14;12.0;3.8;8.3;0.0
21-12-14;14.7;2.7;8.7;0.0
20-12-14;17.5;2.8;10.3;0.2
19-12-14;18.8;2.8;9.5;0.0
18-12-14;19.7;2.0;9.4;0.0
17-12-14;17.6;1.1;8.6;0.2
16-12-14;17.0;1.4;9.1;0.0
15-12-14;12.5;3.2;7.6;1.8
14-12-14;9.5;5.1;7.1;9.2
13-12-14;16.8;2.1;8.8;0.0
12-12-14;16.5;-1.5;6.4;0.0
11-12-14;17.5;-1.6;6.4;0.0
10-12-14;13.6;-2.5;5.3;0.0
09-12-14;15.0;0.4;8.2;0.0
08-12-14;14.8;-2.3;5.3;0.0
07-12-14;14.1;-0.6;6.9;0.0
06-12-14;15.2;-0.7;6.6;0.0
05-12-14;15.5;1.6;7.4;0.2
04-12-14;15.4;2.0;7.7;0.0
03-12-14;15.8;3.7;9.0;0.2
02-12-14;16.3;5.3;10.9;0.4
01-12-14;19.6;10.8;14.5;0.0
30-11-14;17.8;7.3;11.8;0.2
29-11-14;14.4;6.4;10.3;1.0
28-11-14;15.1;7.5;11.4;1.4
27-11-14;16.7;5.5;10.7;0.2
26-11-14;18.5;5.4;11.6;0.0
25-11-14;19.3;8.7;13.4;2.6
24-11-14;20.6;10.1;14.4;0.0
23-11-14;22.2;10.8;16.6;0.2
22-11-14;20.3;11.8;15.9;0.0
21-11-14;18.1;9.7;13.3;0.0
20-11-14;17.1;6.7;11.9;0.2
19-11-14;19.8;4.5;11.2;0.2
18-11-14;18.8;2.1;9.2;0.0
